layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,max_rand_eval,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,ww_maxdist,ww_softrank,xmax,xmin
2,Embedding,0.07359618951689395,768,30522,39.7421875,0.11212145852158478,3.0266392625427945,13.470143246805868,70.54531250000001,37.20145822012271,0.6632381679966396,True,28218.125,embedding,13.470194205002802,4.78598374282262,4.450528152961675,embeddings.word_embeddings,768,18468.166,0.0025000000000000005,61091.91556143761,768,355,93,0.1121181512086922,70.13101189465301,36.98298039198369,0.19051062675699343,0.003797399906158448,8,0.810378192566532,0,1,0.10756284374013543,0.8127923073623777,28218.125,2.1649884803273642,success,167.98251342773438,1.7048841714859009,,0,9751.103515625,0.6544382904383265,28218.125,36.34228515625
3,Embedding,0.09931817082101102,512,768,1.5,2.2423002546453756,1.7278681917852419,1.7182357983304486,0.09224020482696586,0.0009413246038817936,0.6303758984959067,True,9.872457504272461,embedding,2.4766098273206576,2.007882428485804,0.9944252730037,embeddings.position_embeddings,512,1.2242386,0.009343185806274423,101.83156739291735,512,317,42,2.24225960297689,0.7012627653439235,0.007156487738104407,0.5370368344268465,0.5728154183387761,4,1.0336932917257655,0,1,0.04088115053187513,0.3749033411001281,9.872457504272461,10.314713165272996,success,3.1420466899871826,0.025334622710943222,over-trained,0,8.632619857788086,0.1255855136320228,9.872457504272461,0.012660231441259384
12,Linear,0.04219412316952831,768,768,1.0,0.8357483965606275,2.9179697720715505,4.0744873369092725,5.815333305522922,0.0,0.910538468003242,True,24.90825080871582,dense,4.767741429486294,3.041210115946905,1.3963432301139558,encoder.layer.0.attention.self.query,768,5.701206,0.23347016015624986,1099.5376779236828,768,93,33,0.8357414371650588,5.805581857876928,0.0,0.1724574335918636,1.0183076434717169,0,1.0068500973572114,0,1,0.19888420055913217,1.0077037206055528,24.90825080871582,44.14351237939743,success,4.990816593170166,0.0006952526746317744,,1,19.302959442138672,0.22503753513738353,24.90825080871582,3.403334617614746
13,Linear,0.048411086704076456,768,768,1.0,0.8422011969040574,3.214210387844186,5.036184511863903,5.724743105247127,0.0,0.9098885421561209,True,36.88499069213867,dense,5.322265507353893,3.034529511456802,1.5668496782009778,encoder.layer.0.attention.self.key,768,5.6254597,0.15520522027587896,1082.7532885724902,768,87,25,0.8421915443569666,5.720612509836951,0.0,0.17418497101539748,1.0169146779785165,0,1.0071685288555445,0,1,0.2373882711575807,1.0075436262018034,36.88499069213867,29.354847818987203,success,6.073301315307617,0.0007101443479768932,,1,31.276667594909668,0.15204892266447856,36.88499069213867,3.5991370677948
14,Linear,0.09362047667406781,768,768,1.0,1.2481794207375685,4.251433584959591,2.9767757386073854,2.64695328478469,0.0,0.9362124074966099,True,5.0139689445495605,dense,4.007249673061405,2.692807184217626,0.7001816397034647,encoder.layer.0.attention.self.value,768,2.5642903,0.5279157717285151,492.95489583893163,768,57,30,1.2481783746468162,2.6046046885995846,0.0,0.1045234148414527,1.015721466373443,0,1.0072042908474987,0,1,0.43066289901269716,1.0153602575168712,5.0139689445495605,98.31630416753951,success,2.239189386367798,0.0004438759642653167,,1,2.442546844482422,0.512851620842687,5.0139689445495605,2.175159215927124
17,Linear,0.06091295132054897,768,768,1.0,1.258546714591111,2.5201709931030933,2.290883566615024,2.567683998476485,0.0,0.9175112435330265,True,8.109967231750488,dense,3.3386955399808285,2.6856225394798847,0.9090190994517608,encoder.layer.0.attention.output.dense,768,2.4884577,0.3166084307250975,484.8669021969448,768,137,39,1.2585267727115883,2.561333522341864,0.0,0.15756189688133226,1.0292855462989803,0,1.0070836142739532,0,1,0.1298769728996521,1.0083472818492178,8.109967231750488,59.786542700036186,success,2.8478004932403564,0.0003379487316124141,,1,5.598494529724121,0.30967729341666905,8.109967231750488,1.051079273223877
21,Linear,0.06005232794855209,768,3072,4.0,0.48096320986303803,3.3599986750111017,7.457669747862329,7.318263536772916,0.8131403929747684,0.9710149353356307,True,165.7850799560547,dense,7.5233218658544185,3.521137505390067,2.219545443076012,encoder.layer.0.intermediate.dense,768,9.685406,0.04414307692050935,3319.99557903409,768,223,65,0.480957151246409,9.785924273505922,1.0873249192784358,0.17876506664146338,1.0103783512115485,0,1.0030349197663075,0,1,0.158037200395233,0.8674103914617805,165.7850799560547,20.025900882721984,success,12.875755310058594,0.46260643005371094,,0,156.11425018310547,0.05833353505341195,165.7850799560547,4.806553840637207
24,Linear,0.03708617464261654,768,3072,4.0,0.5025446158420253,3.5294430305765805,6.0370311317422605,7.547673002597395,0.8386303336219327,1.0007603980723354,True,51.342498779296875,dense,6.302469035018103,3.4830119712142045,1.7104770014536919,encoder.layer.0.output.dense,768,9.117876,0.147006343322754,3040.9688480347395,768,31,55,0.502540503500776,8.95738735028517,0.995265261142797,0.09856276334558671,0.9823984553375239,0,1.0026987858078173,0,1,0.4543013794662276,0.9204281734670081,51.342498779296875,59.22907767124428,success,7.16536808013916,0.39893248677253723,,0,42.03722667694092,0.18123917463300743,51.342498779296875,9.17298698425293
30,Linear,0.04524158561362018,768,768,1.0,0.8472357669999272,2.7270006000593106,3.556435916752175,5.624382717559436,0.0,0.9151794254921949,True,20.144506454467773,dense,4.495388808708414,3.029352656609761,1.304156631529463,encoder.layer.1.attention.self.query,768,5.4287477,0.27920181267642946,1069.9233276980453,768,141,29,0.8472269735638942,5.650275551614188,0.0,0.16602396805380384,1.0408064459381097,0,1.0069423167339746,1,1,0.14543968730229795,1.0046428982384152,20.144506454467773,53.11241206709987,success,4.488263130187988,0.00021099411242175847,,1,14.679098129272461,0.2713101131342516,20.144506454467773,2.3565704822540283
31,Linear,0.0338435020410387,768,768,1.0,0.8474040267406313,2.7144088863308116,4.157414262918181,5.620384253096154,0.0,0.9031620647209586,True,34.01021957397461,dense,4.6836622866720115,3.029180173283394,1.5316094357979886,encoder.layer.1.attention.self.key,768,5.541581,0.16525574734592421,1069.4984839559513,768,108,30,0.8473906262847625,5.652966935062406,0.0,0.19021889033328973,1.0200999999999996,0,1.007376655602718,1,1,0.1649690720040301,1.0044851759454736,34.01021957397461,31.44638574384141,success,5.8318281173706055,0.00029668366187252104,,1,28.47651433944702,0.16270713049915456,34.01021957397461,2.7800633907318115
