layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,max_rand_eval,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rand_W_scale,rand_bulk_max,rand_bulk_min,rand_distance,rand_mp_softrank,rand_num_spikes,rand_sigma_mp,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,ww_maxdist,ww_softrank,xmax,xmin
2,Embedding,0.07356942708252712,768,30524,39.744791666666664,0.11212042998008523,3.0268411469603174,13.471087322416965,70.5477587890625,37.20354156630132,0.663232432726673,True,28219.103515625,embedding,13.471138233524046,4.785991710823615,4.450543212664201,embeddings.word_embeddings,768,18468.115,0.0024999999999999996,61093.03642511368,768,355,93,0.11211799201768362,70.12415088717026,36.9801508526008,0.19051413556595453,0.0037970388422012362,7,0.8103410355296761,0,1,0.10757355865248167,0.8128025892382107,28219.103515625,2.1649531279860215,success,167.9854278564453,1.7061042785644531,,0,9750.32421875,0.6544778889467124,28219.103515625,36.3442497253418
3,Embedding,0.09867369168206686,512,768,1.5,2.242622217500864,1.7289540289454277,1.7152950769212414,0.09237902707994948,0.0009427413050106008,0.6304468664865155,True,9.819737434387207,embedding,2.4765948304200815,2.007757720250489,0.9920998755342746,embeddings.position_embeddings,512,1.2874869,0.00940748443603516,101.80233052145923,512,318,42,2.242565632520347,0.6643082876959469,0.0067793619598291305,0.5371005204556918,0.5159728476562494,4,1.006225717080739,0,1,0.040877712104580195,0.375239222663044,9.819737434387207,10.367113296223497,success,3.133646011352539,0.02666744962334633,over-trained,0,8.580309629440308,0.12621801888578144,9.819737434387207,0.012616857886314392
12,Linear,0.04307415134182874,768,768,1.0,0.8360975833222032,2.913644655642667,4.07214016556136,5.8108454910838425,0.0,0.9106208310926874,True,24.981035232543945,dense,4.761596456787714,3.0408472837536626,1.3976104318950184,encoder.layer.0.attention.self.query,768,5.7559147,0.2326102756347658,1098.6194505930641,768,93,32,0.8360894319215846,5.805485852189888,0.0,0.17259188760268937,1.0086122131347661,0,1.0072610115913307,1,1,0.19843570687804846,1.0077356820166967,24.981035232543945,43.97813943122109,success,4.998103141784668,4.257872933521867e-05,,1,19.27907419204712,0.2282515911537813,24.981035232543945,3.3968007564544678
13,Linear,0.05138458533381285,768,768,1.0,0.8425264640527089,3.1491035110320627,4.927872314553216,5.723804118632402,0.0,0.9101013589692074,True,36.715484619140625,dense,5.227354612857289,3.034194117831274,1.5648492649700783,encoder.layer.0.attention.self.key,768,5.5731773,0.15589618870639807,1081.9174309288207,768,92,25,0.8425192339835904,5.715218264649781,0.0,0.17305987088124977,1.0254865256204606,0,1.0070852586158008,0,1,0.22405952967542633,1.0078500851633976,36.715484619140625,29.467605893040353,success,6.059330463409424,0.001251839566975832,,0,31.14531660079956,0.15171168448740038,36.715484619140625,3.457549810409546
14,Linear,0.0952790080187661,768,768,1.0,1.248663321477555,4.178158728408604,2.9110833580514965,2.6446340254997986,0.0,0.9363106181632846,True,4.974372863769531,dense,3.9630393116379428,2.69247051035308,0.6967383355395602,encoder.layer.0.attention.self.value,768,2.574661,0.5316517474517825,492.5728953216829,768,60,30,1.2486640858996214,2.6023573939534463,0.0,0.1043220568517702,1.010757290886879,0,1.0071614514999894,1,1,0.4102985275576755,1.015308798627549,4.974372863769531,99.02210968327292,success,2.230330228805542,5.4366220865631476e-05,,1,2.444150686264038,0.5086514917155035,4.974372863769531,2.1207337379455566
17,Linear,0.06219563531528477,768,768,1.0,1.2593081001206985,2.481787667195742,2.242861699450866,2.564023073653239,0.0,0.917561056820136,True,8.01176643371582,dense,3.3136227920576715,2.6850972263565898,0.9037282798593134,encoder.layer.0.attention.output.dense,768,2.5217333,0.32003217952823626,484.2807723346228,768,150,39,1.259286172347641,2.557369428105703,0.0,0.1577084500674575,1.0141316071510316,0,1.0069112044030986,0,1,0.12098745639261944,1.0082377770287985,8.01176643371582,60.44619202784418,success,2.8305063247680664,0.0009348349994979799,,1,5.531045436859131,0.30963471256689423,8.01176643371582,0.9708589911460876
21,Linear,0.05790692130068498,768,3072,4.0,0.4809601563222924,3.3623356412438876,7.466625438366758,7.334310953101053,0.8149234392334502,0.9710151197662023,True,166.2135009765625,dense,7.531316207950147,3.5211430199079286,2.2206662971946782,encoder.layer.0.intermediate.dense,768,9.723276,0.04412584362888338,3320.0377354323864,768,223,65,0.48095629152997427,9.795574978185833,1.0883972197984257,0.17834690791062496,1.007435646057129,0,1.0035275916776156,0,1,0.15819369522921672,0.8683553821198053,166.2135009765625,19.974537061827125,success,12.89238166809082,0.4628550410270691,,0,156.43126583099365,0.05885343301293091,166.2135009765625,4.8085737228393555
24,Linear,0.036852316961818565,768,3072,4.0,0.5025820019766678,3.574698692440661,6.1142641015523544,7.54535757439584,0.8383730638217599,1.000751691684585,True,51.33668518066406,dense,6.371771505207906,3.4829473561032542,1.7104278227650511,encoder.layer.0.output.dense,768,9.035991,0.14697788818740862,3040.51644089818,768,32,56,0.5025785374829641,8.915082668260775,0.9905647409178636,0.0992001634219611,0.9866192816505434,0,1.000403877771576,0,1,0.4551467262342321,0.9203554445404146,51.33668518066406,59.226972489516896,success,7.164962291717529,0.39822790026664734,,0,42.31022262573242,0.17582869877877222,51.33668518066406,9.120255470275879
30,Linear,0.044175899716758366,768,768,1.0,0.8471925271741758,2.7312936011180504,3.5592673264464634,5.6255762370290165,0.0,0.9152246588695572,True,20.097564697265625,dense,4.499387386688167,3.0293969873561037,1.3031434353997986,encoder.layer.1.attention.self.query,768,5.495842,0.27991332889175397,1070.0325460336378,768,141,29,0.8471745113463373,5.6534914930051965,0.0,0.16600922639785967,1.0286852339639663,0,1.0071664644421778,1,1,0.14580122321117378,1.0046982087171545,20.097564697265625,53.24190080498764,success,4.483030796051025,0.0004089253779966384,,1,14.564308166503906,0.27531975212472115,20.097564697265625,2.3611652851104736
31,Linear,0.03360027437518609,768,768,1.0,0.8472734329357586,2.7058571732476766,4.146347882577899,5.621239882990333,0.0,0.9032042196804909,True,34.06906509399414,dense,4.673151628134548,3.0293140422237412,1.5323602160424783,encoder.layer.1.attention.self.key,768,5.6033363,0.1649954252481461,1069.8282019309222,768,110,30,0.8472520707827449,5.650494410307476,0.0,0.19013780668983796,1.0084160709381107,0,1.0069916470880877,1,1,0.16264709972878966,1.0044068194597684,34.06906509399414,31.401748154207986,success,5.836871147155762,7.383394404314458e-05,,1,28.560136318206787,0.16169885380149437,34.06906509399414,2.742802381515503
